,project,first_dates,last commit dates
0,jfreechart,2007-06-29 13:35:09+00:00,2022-06-08 06:39:15+02:00
1,commons-cli,2002-06-10 18:01:16+00:00,2022-06-08 12:48:41-04:00
2,closure-compiler,2009-11-03 23:37:28+00:00,2022-06-08 17:28:38-07:00
3,commons-codec,2003-04-25 17:51:00+00:00,2022-05-22 07:49:51-04:00
4,commons-collections,2001-04-14 15:38:58+00:00,2022-05-26 12:10:32-04:00
5,commons-compress,2003-11-23 20:07:47+00:00,2022-05-24 16:49:33-04:00
6,commons-csv,2005-12-17 05:41:27+00:00,2022-05-22 07:57:45-04:00
7,gson,2008-09-01 03:13:32+00:00,2022-06-08 15:04:42-07:00
8,jackson-core,2011-12-22 18:06:25-08:00,2022-06-05 21:11:06-07:00
9,jackson-databind,2011-12-22 23:25:27-08:00,2022-05-31 15:34:43-07:00
10,jackson-dataformat-xml,2010-12-30 21:02:45-08:00,2022-05-26 11:12:55-07:00
11,jsoup,2010-01-17 11:26:51+11:00,2022-05-24 13:58:19+10:00
12,commons-jxpath,2001-08-23 00:47:02+00:00,2020-05-26 01:51:04+08:00
13,commons-lang,2002-07-19 03:35:56+00:00,2022-06-08 12:37:01-04:00
14,commons-math,2003-05-12 15:07:54+00:00,2022-06-07 15:39:02+01:00
15,mockito,2007-11-15 10:29:55+00:00,2022-06-08 23:51:56+02:00
16,joda-time,2003-12-16 19:12:24+00:00,2022-05-15 23:28:16+01:00
